Saison,Âge,Équipe,Comp,Tcl,TclR,ZDéf_x,MilTer_x,ZOff_x,Tcl.1,Att_x,Tcl%,Balles contrées,Tirs_x,Passe,Int,Tcl+Int,Dég,MJ,Titulaire,Min,Buts_x,PD_x,B+PD,B-PénM,PénM_x,PénT_x,CJ,CR,xAG_x,npxG+xAG,PrgC_x,PrgP_x,PrgR,Buts.1,PD.1,B+PD.1,B-PénM.1,B+PD-PénM,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Touches,SurfRépDéf,ZDéf_y,MilTer_y,ZOff_y,SurfRépOff,Action de jeu,Att_y,Succ,Succ%,Tkld,Tkld%,Balle au pied,TotDist_x,DistBut_x,PrgC_y,1/3_x,AMT,PassLive,PassDead,TO,Tirs_y,Ftp,Déf,AMB,Buts_y,Tirs,TC,TC%,Tir/90,TC/90,B/Tir,B/TC,Dist,CF,PénM_y,PénT_y,Cmp,Att,Cmp%,TotDist_y,DistBut_y,PD_y,xAG_y,xA,A-xAG,PC,1/3_y,PPA,CntSR,PrgP_y
2019-2020,19,Porto,1. Primeira Liga,4.0,3.0,0.0,2.0,2.0,4.0,7.0,57.1,2.0,1.0,1.0,1.0,5.0,1.0,8,0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.1,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.49,0.38,0.87,0.49,0.87,98.0,0.0,7.0,49.0,42.0,2.0,98.0,3.0,3.0,100.0,0.0,0.0,70.0,405.0,162.0,3.0,5.0,7.0,4.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,5.0,1.0,20.0,3.81,0.76,0.0,0.0,20.8,0.0,0.0,0.0,71.0,79.0,89.9,1009.0,191.0,0.0,0.5,0.5,-0.5,2.0,7.0,3.0,0.0,4.0
2019-2020,19,Porto,2. Europa Lg,,,,,,,,,,,,,,,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,20,Wolves,1. Premier League,7.0,3.0,2.0,5.0,0.0,3.0,8.0,37.5,3.0,0.0,3.0,3.0,10.0,1.0,19,5,520.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,1.2,11.0,20.0,18.0,0.0,0.17,0.17,0.0,0.17,0.09,0.11,0.2,0.09,0.2,389.0,2.0,31.0,239.0,122.0,8.0,389.0,12.0,8.0,66.7,4.0,33.3,261.0,1532.0,753.0,11.0,15.0,23.0,19.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,8.0,4.0,50.0,1.38,0.69,0.0,0.0,22.6,0.0,0.0,0.0,302.0,346.0,87.3,4427.0,776.0,1.0,0.6,0.7,0.4,12.0,26.0,4.0,1.0,20.0
2020-2021,20,Wolves,EFL Cup,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,1,1,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2020-2021,20,Wolves,FA Cup,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,2,2,136.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.66,0.0,0.66,0.66,0.66,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,100.0,0.66,0.66,1.0,1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2020-2021,20,Wolves,Jr. PL2 — Div. 2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2021-2022,21,Porto,1. Champions Lg,4.0,3.0,2.0,1.0,1.0,1.0,8.0,12.5,1.0,1.0,0.0,5.0,9.0,2.0,6,1,223.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.5,7.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.21,0.21,0.21,179.0,4.0,33.0,100.0,50.0,4.0,179.0,5.0,4.0,80.0,1.0,20.0,99.0,566.0,264.0,7.0,1.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,25.0,1.61,0.4,0.0,0.0,23.1,0.0,0.0,0.0,133.0,157.0,84.7,2348.0,601.0,0.0,0.0,0.1,0.0,0.0,14.0,1.0,0.0,12.0
2021-2022,21,Porto,1. Primeira Liga,49.0,30.0,11.0,28.0,10.0,23.0,41.0,56.1,25.0,4.0,21.0,36.0,85.0,14.0,30,27,2251.0,2.0,3.0,5.0,2.0,0.0,0.0,3.0,0.0,4.5,7.7,69.0,206.0,40.0,0.08,0.12,0.2,0.08,0.2,0.13,0.18,0.31,0.13,0.31,2219.0,19.0,280.0,1318.0,648.0,35.0,2219.0,66.0,48.0,72.7,18.0,27.3,1417.0,7601.0,3854.0,69.0,63.0,122.0,81.0,26.0,4.0,9.0,1.0,1.0,13.0,2.0,62.0,26.0,41.9,2.48,1.04,0.03,0.08,25.3,6.0,0.0,0.0,1709.0,1963.0,87.1,29116.0,7593.0,3.0,4.5,4.9,-1.5,42.0,210.0,33.0,1.0,206.0
2021-2022,21,Porto,2. Europa Lg,6.0,4.0,1.0,3.0,2.0,2.0,8.0,25.0,2.0,2.0,0.0,8.0,14.0,2.0,4,2,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8,6.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.11,0.23,0.34,0.11,0.34,189.0,5.0,41.0,106.0,44.0,3.0,189.0,13.0,8.0,61.5,5.0,38.5,131.0,762.0,320.0,6.0,7.0,8.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,3.0,50.0,2.41,1.21,0.0,0.0,25.9,0.0,0.0,0.0,127.0,158.0,80.4,2042.0,635.0,0.0,0.6,0.1,-0.6,6.0,17.0,2.0,0.0,12.0
2022-2023,22,Paris S-G,1. Champions Lg,8.0,6.0,3.0,4.0,1.0,1.0,11.0,9.1,8.0,1.0,7.0,13.0,21.0,1.0,8,7,584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.7,11.0,35.0,16.0,0.0,0.0,0.0,0.0,0.0,0.09,0.03,0.11,0.09,0.11,496.0,10.0,107.0,287.0,109.0,10.0,496.0,14.0,8.0,57.1,3.0,21.4,417.0,2206.0,941.0,11.0,22.0,10.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,2.0,40.0,0.77,0.31,0.0,0.0,22.6,0.0,0.0,0.0,398.0,436.0,91.3,5761.0,1393.0,0.0,0.2,0.4,-0.2,3.0,34.0,3.0,0.0,35.0
